seed	epoch	route	item_id	target	prediction	target_length	predicted_length	exact_match	word_error	raw_edit_distance	normalized_edit_distance	substitutions	deletions	insertions	eos_position	source_lexicality	lichtheim_exposure_status	morphology	size	condition	zipf_frequency	frequency_class	gate	lexical_confidence	eos_class
22	140	ltm	wfe_0140	L OW K AH M OW T IH V	L OW K AH M OW T AH V	9	9	0	1	1.0	0.1111	1	0	0		real	TRAINED_REAL_EXACT	complex	long	RLCL	3.5	low	0.4157209992408752	0.5298178195953369	EOS_NOT_OBSERVED
22	140	ltm	wfe_0144	T AH P AA G R AH F IY	T AH P AA T R AH F IY	9	9	0	1	1.0	0.1111	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.441429853439331	0.5823193788528442	EOS_NOT_OBSERVED
22	140	ltm	wfe_0148	T AH L EH P AH TH IY	T AH L EH P AH TH	8	7	0	1	1.0	0.125	0	1	0	7.0	real	UNTRAINED_REAL	complex	long	RLCL	2.88	low	0.4448159039020538	0.5891803503036499	PREMATURE_EOS
22	140	ltm	wfe_0162	Y UW N IH S EH K S	Y UW N IH S EH S K	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4322418868541717	0.5636448860168457	EOS_NOT_OBSERVED
22	140	ltm	wfe_0165	AH P HH IY V AH L	AH P HH EH V AH L	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.13	low	0.4014509320259094	0.5002883672714233	EOS_NOT_OBSERVED
22	140	ltm	wfe_0183	F EY TH F AH L IY	F EY TH F AH L	7	6	0	1	1.0	0.1429	0	1	0	6.0	real	UNTRAINED_REAL	complex	long	RLCL	3.27	low	0.412673681974411	0.5235382914543152	PREMATURE_EOS
22	140	ltm	wfe_0194	S AH S P IH SH AH N Z	S AH S IH P SH AH N Z	9	9	0	1	2.0	0.2222	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.49	low	0.4936188459396362	0.6872369647026062	EOS_NOT_OBSERVED
22	140	ltm	wfe_0197	S T EH D F AE S T	T R EH S D EY T	8	7	0	1	6.0	0.75	3	2	1	7.0	real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4877227544784546	0.6754405498504639	PREMATURE_EOS
22	140	ltm	wfe_0258	M Y UW CH AH W AH L	M Y UW CH AH HH AH L	8	8	0	1	1.0	0.125	1	0	0		real	TRAINED_REAL_PRON_VARIANT	simple	long	RLSH	4.26	high	0.4899645149707794	0.679926335811615	EOS_NOT_OBSERVED
22	140	ltm	wfe_0303	S K AA R L IH T	S K AA R L AH T	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.45	low	0.4612417817115783	0.6223276853561401	EOS_NOT_OBSERVED
22	140	ltm	wfe_0311	T AE B ER N AE K AH L	T AE B ER N AE K L AH	9	9	0	1	2.0	0.2222	0	1	1		real	UNTRAINED_REAL	simple	long	RLSL	3.06	low	0.3745527267456054	0.4436327815055847	EOS_NOT_OBSERVED
22	140	ltm	wfe_0333	AH M B IH L IH K AH L	AH M IH K L AH B AH L	9	9	0	1	4.0	0.4444	4	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.02	low	0.4754006564617157	0.6507615447044373	EOS_NOT_OBSERVED
22	140	ltm	wfe_0341	EH B IH N IY Z ER	EH B IH N IY Z	7	6	0	1	1.0	0.1429	0	1	0	6.0	real	UNTRAINED_REAL	simple	long	RLSL	2.89	low	0.4057863354682922	0.5092938542366028	PREMATURE_EOS
22	140	ltm	wfe_0347	Y OW K AH HH AA M AH	Y OW K AH W AA K AH	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.05	low	0.5037552118301392	0.7075104713439941	EOS_NOT_OBSERVED
22	140	ltm	wfe_0355	W IH N TH R AH P	W IY N ER P AH NG	7	7	0	1	4.0	0.5714	4	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.04	low	0.3994031250476837	0.4960236549377441	EOS_NOT_OBSERVED
22	140	ltm	wfe_0357	S IY G F R IY D	S IY G F L IY D	7	7	0	1	1.0	0.1429	1	0	0		real	TRAINED_REAL_EXACT	simple	long	RLSL	3.03	low	0.3635734915733337	0.4200562238693237	EOS_NOT_OBSERVED
22	140	ltm	wfe_0382	Z EH P IH L IH N	Z EH M IH K IH L	7	7	0	1	3.0	0.4286	3	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.29	low	0.3470484912395477	0.3839808404445648	EOS_NOT_OBSERVED
22	140	ltm	wfe_0412	IH N IH NG Z	IH N T S	5	4	0	1	3.0	0.6	2	1	0	4.0	real	UNTRAINED_REAL	complex	short	RSCH	4.02	high	0.352416843175888	0.3957837224006653	PREMATURE_EOS
22	140	ltm	wfe_0431	S AH M D EY	S AH M D UW	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCH	4.05	high	0.5522691011428833	0.8049215078353882	EOS_NOT_OBSERVED
22	140	ltm	wfe_0456	W UH L V Z	W UH L P AH	5	5	0	1	2.0	0.4	2	0	0		real	UNTRAINED_REAL	complex	short	RSCH	4.01	high	0.3949634134769439	0.4867520630359649	EOS_NOT_OBSERVED
22	140	ltm	wfe_0534	G R OW ER Z	G ER OW S	5	4	0	1	3.0	0.6	2	1	0	4.0	real	UNTRAINED_REAL	complex	short	RSCL	3.5	low	0.39781653881073	0.4927144348621368	PREMATURE_EOS
22	140	ltm	wfe_0568	R IY K OY L	R IY K AW N	5	5	0	1	2.0	0.4	2	0	0		real	UNTRAINED_REAL	complex	short	RSCL	3.19	low	0.4635319411754608	0.6269340515136719	EOS_NOT_OBSERVED
22	140	ltm	wfe_0574	R IY N EY M	R AY N EY M	5	5	0	1	1.0	0.2	1	0	0		real	TRAINED_REAL_EXACT	complex	short	RSCL	3.18	low	0.4500840604305267	0.5998344421386719	EOS_NOT_OBSERVED
22	140	ltm	wfe_0576	S IY SH AO R	S AW TH AO R	5	5	0	1	2.0	0.4	2	0	0		real	TRAINED_REAL_EXACT	complex	short	RSCL	2.92	low	0.3991953134536743	0.4955904483795166	EOS_NOT_OBSERVED
22	140	ltm	wfe_0585	AH N ER TH T	AH N ER TH IY	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCL	3.19	low	0.3714432716369629	0.4369848966598511	EOS_NOT_OBSERVED
19	155	wm	wfe_0327	AE B ER K R AA M B IY	AE B ER K R AA B M IY	9	9	0	1	2.0	0.2222	0	1	1		real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.3804112374782562	0.4560984075069427	EOS_NOT_OBSERVED
20	130	wm	wfe_0117	S UW P ER F L W AH S	S UW P ER F L M AH S	9	9	0	1	1.0	0.1111	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.414632111787796	0.5275755524635315	EOS_NOT_OBSERVED
20	130	wm	wfe_0118	S UW P ER P AW ER Z	S UW P ER AW P ER Z	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4172939360141754	0.533053994178772	EOS_NOT_OBSERVED
20	130	wm	wfe_0327	AE B ER K R AA M B IY	AE B ER K R AA M K IY	9	9	0	1	1.0	0.1111	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.4202515780925751	0.5391295552253723	EOS_NOT_OBSERVED
22	140	wm	wfe_0104	JH EH N ER AH S L IY	JH EH N ER AH L S IY	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.29	low	0.5053743720054626	0.710749089717865	EOS_NOT_OBSERVED
22	140	wm	wfe_0117	S UW P ER F L W AH S	S UW P ER L F S AH W	9	9	0	1	4.0	0.4444	2	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4176675379276275	0.5338221192359924	EOS_NOT_OBSERVED
22	140	wm	wfe_0382	Z EH P IH L IH N	P EH P IH L IH N	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.29	low	0.3470484912395477	0.3839808404445648	EOS_NOT_OBSERVED
