,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Vowel Count,Consonant Count
121,commemorate,RLCL,real,long,complex,3.09e-06,8,3.49,"['K', 'AH0', 'M', 'EH1', 'M', 'ER0', 'EY2', 'T']","['K', 'AH', 'M', 'EH', 'M', 'ER', 'EY', 'T']",VERB,4,4
122,withhold,RLCL,real,long,complex,1.91e-06,7,3.28,"['W', 'IH0', 'TH', 'HH', 'OW1', 'L', 'D']","['W', 'IH', 'TH', 'HH', 'OW', 'L', 'D']",VERB,2,5
123,bearable,RLCL,real,long,complex,7.76e-07,7,2.89,"['B', 'EH1', 'R', 'AH0', 'B', 'AH0', 'L']","['B', 'EH', 'R', 'AH', 'B', 'AH', 'L']",ADJ,3,4
124,potency,RLCL,real,long,complex,1.86e-06,7,3.27,"['P', 'OW1', 'T', 'AH0', 'N', 'S', 'IY0']","['P', 'OW', 'T', 'AH', 'N', 'S', 'IY']",NOUN,3,4
125,dignified,RLCL,real,long,complex,1.91e-06,8,3.28,"['D', 'IH1', 'G', 'N', 'AH0', 'F', 'AY2', 'D']","['D', 'IH', 'G', 'N', 'AH', 'F', 'AY', 'D']",ADJ,3,5
126,constraint,RLCL,real,long,complex,1.91e-06,9,3.28,"['K', 'AH0', 'N', 'S', 'T', 'R', 'EY1', 'N', 'T']","['K', 'AH', 'N', 'S', 'T', 'R', 'EY', 'N', 'T']",NOUN,2,7
127,deterrence,RLCL,real,long,complex,9.77e-07,7,2.99,"['D', 'IH0', 'T', 'ER1', 'AH0', 'N', 'S']","['D', 'IH', 'T', 'ER', 'AH', 'N', 'S']",NOUN,3,4
128,dishwasher,RLCL,real,long,complex,1.95e-06,7,3.29,"['D', 'IH1', 'SH', 'W', 'AA2', 'SH', 'ER0']","['D', 'IH', 'SH', 'W', 'AA', 'SH', 'ER']",NOUN,3,4
129,venetian,RLCL,real,long,complex,2e-06,7,3.3,"['V', 'AH0', 'N', 'IY1', 'SH', 'AH0', 'N']","['V', 'AH', 'N', 'IY', 'SH', 'AH', 'N']",ADJ,3,4
130,shortages,RLCL,real,long,complex,3.16e-06,8,3.5,"['SH', 'AO1', 'R', 'T', 'AH0', 'JH', 'AH0', 'Z']","['SH', 'AO', 'R', 'T', 'AH', 'JH', 'AH', 'Z']",NOUN,3,5
131,refinery,RLCL,real,long,complex,3.09e-06,7,3.49,"['R', 'IH0', 'F', 'AY1', 'N', 'ER0', 'IY0']","['R', 'IH', 'F', 'AY', 'N', 'ER', 'IY']",NOUN,4,3
132,deodorant,RLCL,real,long,complex,1.32e-06,8,3.12,"['D', 'IY0', 'OW1', 'D', 'ER0', 'AH0', 'N', 'T']","['D', 'IY', 'OW', 'D', 'ER', 'AH', 'N', 'T']",NOUN,4,4
133,unequal,RLCL,real,long,complex,2e-06,7,3.3,"['AH0', 'N', 'IY1', 'K', 'W', 'AH0', 'L']","['AH', 'N', 'IY', 'K', 'W', 'AH', 'L']",ADJ,3,4
134,famously,RLCL,real,long,complex,3.09e-06,7,3.49,"['F', 'EY1', 'M', 'AH0', 'S', 'L', 'IY0']","['F', 'EY', 'M', 'AH', 'S', 'L', 'IY']",ADV,3,4
135,botanical,RLCL,real,long,complex,3.09e-06,9,3.49,"['B', 'AH0', 'T', 'AE1', 'N', 'IH0', 'K', 'AH0', 'L']","['B', 'AH', 'T', 'AE', 'N', 'IH', 'K', 'AH', 'L']",PROPN,4,5
136,multiply,RLCL,real,long,complex,3.16e-06,8,3.5,"['M', 'AH1', 'L', 'T', 'AH0', 'P', 'L', 'AY2']","['M', 'AH', 'L', 'T', 'AH', 'P', 'L', 'AY']",VERB,3,5
137,bohemian,RLCL,real,long,complex,3.16e-06,8,3.5,"['B', 'OW0', 'HH', 'IY1', 'M', 'IY0', 'AH0', 'N']","['B', 'OW', 'HH', 'IY', 'M', 'IY', 'AH', 'N']",ADJ,4,4
138,aristocrat,RLCL,real,long,complex,9.77e-07,9,2.99,"['ER0', 'IH1', 'S', 'T', 'AH0', 'K', 'R', 'AE2', 'T']","['ER', 'IH', 'S', 'T', 'AH', 'K', 'R', 'AE', 'T']",NOUN,4,5
139,glamorous,RLCL,real,long,complex,3.16e-06,7,3.5,"['G', 'L', 'AE1', 'M', 'ER0', 'AH0', 'S']","['G', 'L', 'AE', 'M', 'ER', 'AH', 'S']",ADJ,3,4
140,locomotive,RLCL,real,long,complex,3.16e-06,9,3.5,"['L', 'OW2', 'K', 'AH0', 'M', 'OW1', 'T', 'IH0', 'V']","['L', 'OW', 'K', 'AH', 'M', 'OW', 'T', 'IH', 'V']",NOUN,4,5
141,daredevil,RLCL,real,long,complex,1.95e-06,8,3.29,"['D', 'EH1', 'R', 'D', 'EH2', 'V', 'AH0', 'L']","['D', 'EH', 'R', 'D', 'EH', 'V', 'AH', 'L']",NOUN,3,5
142,camaraderie,RLCL,real,long,complex,9.77e-07,8,2.99,"['K', 'AA2', 'M', 'ER0', 'AA1', 'D', 'ER0', 'IY0']","['K', 'AA', 'M', 'ER', 'AA', 'D', 'ER', 'IY']",NOUN,5,3
143,recital,RLCL,real,long,complex,1.91e-06,7,3.28,"['R', 'AH0', 'S', 'AY1', 'T', 'AH0', 'L']","['R', 'AH', 'S', 'AY', 'T', 'AH', 'L']",NOUN,3,4
144,topography,RLCL,real,long,complex,1.91e-06,9,3.28,"['T', 'AH0', 'P', 'AA1', 'G', 'R', 'AH0', 'F', 'IY0']","['T', 'AH', 'P', 'AA', 'G', 'R', 'AH', 'F', 'IY']",NOUN,4,5
145,stroking,RLCL,real,long,complex,1.38e-06,7,3.14,"['S', 'T', 'R', 'OW1', 'K', 'IH0', 'NG']","['S', 'T', 'R', 'OW', 'K', 'IH', 'NG']",VERB,2,5
146,yellowstone,RLCL,real,long,complex,1.91e-06,8,3.28,"['Y', 'EH1', 'L', 'OW0', 'S', 'T', 'OW2', 'N']","['Y', 'EH', 'L', 'OW', 'S', 'T', 'OW', 'N']",PROPN,3,5
147,dangling,RLCL,real,long,complex,1.95e-06,8,3.29,"['D', 'AE1', 'NG', 'G', 'AH0', 'L', 'IH0', 'NG']","['D', 'AE', 'NG', 'G', 'AH', 'L', 'IH', 'NG']",VERB,3,5
148,telepathy,RLCL,real,long,complex,7.59e-07,8,2.88,"['T', 'AH0', 'L', 'EH1', 'P', 'AH0', 'TH', 'IY0']","['T', 'AH', 'L', 'EH', 'P', 'AH', 'TH', 'IY']",PROPN,4,4
149,bulldozer,RLCL,real,long,complex,7.59e-07,7,2.88,"['B', 'UH1', 'L', 'D', 'OW2', 'Z', 'ER0']","['B', 'UH', 'L', 'D', 'OW', 'Z', 'ER']",NOUN,3,4
150,extortion,RLCL,real,long,complex,1.95e-06,9,3.29,"['IH0', 'K', 'S', 'T', 'AO1', 'R', 'SH', 'AH0', 'N']","['IH', 'K', 'S', 'T', 'AO', 'R', 'SH', 'AH', 'N']",NOUN,3,6
151,norwegians,RLCL,real,long,complex,7.59e-07,9,2.88,"['N', 'AO0', 'R', 'W', 'IY1', 'JH', 'AH0', 'N', 'Z']","['N', 'AO', 'R', 'W', 'IY', 'JH', 'AH', 'N', 'Z']",PROPN,3,6
152,interchange,RLCL,real,long,complex,3.09e-06,8,3.49,"['IH1', 'N', 'T', 'ER0', 'CH', 'EY2', 'N', 'JH']","['IH', 'N', 'T', 'ER', 'CH', 'EY', 'N', 'JH']",VERB,3,5
153,polynesian,RLCL,real,long,complex,7.94e-07,9,2.9,"['P', 'AA2', 'L', 'IH0', 'N', 'IY1', 'ZH', 'AH0', 'N']","['P', 'AA', 'L', 'IH', 'N', 'IY', 'ZH', 'AH', 'N']",ADJ,4,5
154,vindictive,RLCL,real,long,complex,9.55e-07,9,2.98,"['V', 'IH0', 'N', 'D', 'IH1', 'K', 'T', 'IH0', 'V']","['V', 'IH', 'N', 'D', 'IH', 'K', 'T', 'IH', 'V']",ADJ,3,6
155,anaerobic,RLCL,real,long,complex,9.33e-07,7,2.97,"['AE2', 'N', 'ER0', 'OW1', 'B', 'IH0', 'K']","['AE', 'N', 'ER', 'OW', 'B', 'IH', 'K']",ADJ,4,3
156,psychopathic,RLCL,real,long,complex,7.94e-07,9,2.9,"['S', 'AY2', 'K', 'AH0', 'P', 'AE1', 'TH', 'IH0', 'K']","['S', 'AY', 'K', 'AH', 'P', 'AE', 'TH', 'IH', 'K']",ADJ,4,5
157,footprints,RLCL,real,long,complex,1.95e-06,9,3.29,"['F', 'UH1', 'T', 'P', 'R', 'IH2', 'N', 'T', 'S']","['F', 'UH', 'T', 'P', 'R', 'IH', 'N', 'T', 'S']",NOUN,2,7
158,cynicism,RLCL,real,long,complex,1.35e-06,9,3.13,"['S', 'IH1', 'N', 'IH0', 'S', 'IH2', 'Z', 'AH0', 'M']","['S', 'IH', 'N', 'IH', 'S', 'IH', 'Z', 'AH', 'M']",NOUN,4,5
159,specialize,RLCL,real,long,complex,1.91e-06,8,3.28,"['S', 'P', 'EH1', 'SH', 'AH0', 'L', 'AY2', 'Z']","['S', 'P', 'EH', 'SH', 'AH', 'L', 'AY', 'Z']",VERB,3,5
160,pretext,RLCL,real,long,complex,1.86e-06,8,3.27,"['P', 'R', 'IY1', 'T', 'EH2', 'K', 'S', 'T']","['P', 'R', 'IY', 'T', 'EH', 'K', 'S', 'T']",NOUN,2,6
161,blasted,RLCL,real,long,complex,3.09e-06,7,3.49,"['B', 'L', 'AE1', 'S', 'T', 'AH0', 'D']","['B', 'L', 'AE', 'S', 'T', 'AH', 'D']",VERB,2,5
162,unisex,RLCL,real,long,complex,1e-06,8,3.0,"['Y', 'UW1', 'N', 'IH0', 'S', 'EH2', 'K', 'S']","['Y', 'UW', 'N', 'IH', 'S', 'EH', 'K', 'S']",NOUN,3,5
163,sculptural,RLCL,real,long,complex,7.94e-07,9,2.9,"['S', 'K', 'AH1', 'L', 'P', 'CH', 'ER0', 'AH0', 'L']","['S', 'K', 'AH', 'L', 'P', 'CH', 'ER', 'AH', 'L']",ADJ,3,6
164,virulent,RLCL,real,long,complex,7.59e-07,8,2.88,"['V', 'IH1', 'R', 'AH0', 'L', 'AH0', 'N', 'T']","['V', 'IH', 'R', 'AH', 'L', 'AH', 'N', 'T']",ADJ,3,5
165,upheaval,RLCL,real,long,complex,1.35e-06,7,3.13,"['AH0', 'P', 'HH', 'IY1', 'V', 'AH0', 'L']","['AH', 'P', 'HH', 'IY', 'V', 'AH', 'L']",NOUN,3,4
166,epicenter,RLCL,real,long,complex,7.94e-07,8,2.9,"['EH1', 'P', 'AH0', 'S', 'EH2', 'N', 'T', 'ER0']","['EH', 'P', 'AH', 'S', 'EH', 'N', 'T', 'ER']",NOUN,4,4
167,obedience,RLCL,real,long,complex,3.16e-06,8,3.5,"['OW0', 'B', 'IY1', 'D', 'IY0', 'AH0', 'N', 'S']","['OW', 'B', 'IY', 'D', 'IY', 'AH', 'N', 'S']",NOUN,4,4
168,tunneling,RLCL,real,long,complex,7.94e-07,7,2.9,"['T', 'AH1', 'N', 'AH0', 'L', 'IH0', 'NG']","['T', 'AH', 'N', 'AH', 'L', 'IH', 'NG']",VERB,3,4
169,markedly,RLCL,real,long,complex,1.95e-06,8,3.29,"['M', 'AA1', 'R', 'K', 'AH0', 'D', 'L', 'IY0']","['M', 'AA', 'R', 'K', 'AH', 'D', 'L', 'IY']",ADV,3,5
170,hinduism,RLCL,real,long,complex,1.86e-06,9,3.27,"['HH', 'IH1', 'N', 'JH', 'UW0', 'IH2', 'Z', 'AH0', 'M']","['HH', 'IH', 'N', 'JH', 'UW', 'IH', 'Z', 'AH', 'M']",NOUN,4,5
171,agonizing,RLCL,real,long,complex,9.77e-07,8,2.99,"['AE1', 'G', 'AH0', 'N', 'AY0', 'Z', 'IH0', 'NG']","['AE', 'G', 'AH', 'N', 'AY', 'Z', 'IH', 'NG']",VERB,4,4
172,trampoline,RLCL,real,long,complex,1.38e-06,9,3.14,"['T', 'R', 'AE2', 'M', 'P', 'AH0', 'L', 'IY1', 'N']","['T', 'R', 'AE', 'M', 'P', 'AH', 'L', 'IY', 'N']",NOUN,3,6
173,barbarian,RLCL,real,long,complex,1.91e-06,9,3.28,"['B', 'AA0', 'R', 'B', 'EH1', 'R', 'IY0', 'AH0', 'N']","['B', 'AA', 'R', 'B', 'EH', 'R', 'IY', 'AH', 'N']",ADJ,4,5
174,ancestry,RLCL,real,long,complex,3.16e-06,8,3.5,"['AE1', 'N', 'S', 'EH0', 'S', 'T', 'R', 'IY0']","['AE', 'N', 'S', 'EH', 'S', 'T', 'R', 'IY']",NOUN,3,5
175,traveller,RLCL,real,long,complex,3.09e-06,7,3.49,"['T', 'R', 'AE1', 'V', 'AH0', 'L', 'ER0']","['T', 'R', 'AE', 'V', 'AH', 'L', 'ER']",NOUN,3,4
176,egyptians,RLCL,real,long,complex,3.09e-06,8,3.49,"['IH0', 'JH', 'IH1', 'P', 'SH', 'AH0', 'N', 'Z']","['IH', 'JH', 'IH', 'P', 'SH', 'AH', 'N', 'Z']",PROPN,3,5
177,correspond,RLCL,real,long,complex,3.16e-06,9,3.5,"['K', 'AO2', 'R', 'AH0', 'S', 'P', 'AA1', 'N', 'D']","['K', 'AO', 'R', 'AH', 'S', 'P', 'AA', 'N', 'D']",VERB,3,6
178,immaterial,RLCL,real,long,complex,7.76e-07,9,2.89,"['IH2', 'M', 'AH0', 'T', 'IH1', 'R', 'IY0', 'AH0', 'L']","['IH', 'M', 'AH', 'T', 'IH', 'R', 'IY', 'AH', 'L']",ADJ,5,4
179,untimely,RLCL,real,long,complex,1.32e-06,7,3.12,"['AH0', 'N', 'T', 'AY1', 'M', 'L', 'IY0']","['AH', 'N', 'T', 'AY', 'M', 'L', 'IY']",ADJ,3,4
180,caloric,RLCL,real,long,complex,9.55e-07,7,2.98,"['K', 'AH0', 'L', 'AO1', 'R', 'IH0', 'K']","['K', 'AH', 'L', 'AO', 'R', 'IH', 'K']",ADJ,3,4
181,mindful,RLCL,real,long,complex,3.09e-06,7,3.49,"['M', 'AY1', 'N', 'D', 'F', 'AH0', 'L']","['M', 'AY', 'N', 'D', 'F', 'AH', 'L']",ADJ,2,5
182,fisherman,RLCL,real,long,complex,3.09e-06,7,3.49,"['F', 'IH1', 'SH', 'ER0', 'M', 'AE2', 'N']","['F', 'IH', 'SH', 'ER', 'M', 'AE', 'N']",NOUN,3,4
183,faithfully,RLCL,real,long,complex,1.86e-06,7,3.27,"['F', 'EY1', 'TH', 'F', 'AH0', 'L', 'IY0']","['F', 'EY', 'TH', 'F', 'AH', 'L', 'IY']",ADV,3,4
184,bartender,RLCL,real,long,complex,3.16e-06,8,3.5,"['B', 'AA1', 'R', 'T', 'EH2', 'N', 'D', 'ER0']","['B', 'AA', 'R', 'T', 'EH', 'N', 'D', 'ER']",NOUN,3,5
185,reopened,RLCL,real,long,complex,3.09e-06,7,3.49,"['R', 'IY0', 'OW1', 'P', 'AH0', 'N', 'D']","['R', 'IY', 'OW', 'P', 'AH', 'N', 'D']",VERB,3,4
186,parentheses,RLCL,real,long,complex,1.35e-06,9,3.13,"['P', 'ER0', 'EH1', 'N', 'TH', 'AH0', 'S', 'IY2', 'Z']","['P', 'ER', 'EH', 'N', 'TH', 'AH', 'S', 'IY', 'Z']",NOUN,4,5
187,subculture,RLCL,real,long,complex,9.55e-07,8,2.98,"['S', 'AH1', 'B', 'K', 'AH2', 'L', 'CH', 'ER0']","['S', 'AH', 'B', 'K', 'AH', 'L', 'CH', 'ER']",NOUN,3,5
188,adapting,RLCL,real,long,complex,3.16e-06,7,3.5,"['AH0', 'D', 'AE1', 'P', 'T', 'IH0', 'NG']","['AH', 'D', 'AE', 'P', 'T', 'IH', 'NG']",VERB,3,4
189,liberia,RLCL,real,long,complex,3.16e-06,7,3.5,"['L', 'AY0', 'B', 'IH1', 'R', 'IY0', 'AH0']","['L', 'AY', 'B', 'IH', 'R', 'IY', 'AH']",PROPN,4,3
190,coincide,RLCL,real,long,complex,3.09e-06,7,3.49,"['K', 'OW2', 'IH0', 'N', 'S', 'AY1', 'D']","['K', 'OW', 'IH', 'N', 'S', 'AY', 'D']",VERB,3,4
191,westside,RLCL,real,long,complex,1e-06,7,3.0,"['W', 'EH1', 'S', 'T', 'S', 'AY1', 'D']","['W', 'EH', 'S', 'T', 'S', 'AY', 'D']",NOUN,2,5
192,homophobic,RLCL,real,long,complex,3.16e-06,9,3.5,"['HH', 'OW2', 'M', 'AH0', 'F', 'OW1', 'B', 'IH0', 'K']","['HH', 'OW', 'M', 'AH', 'F', 'OW', 'B', 'IH', 'K']",ADJ,4,5
193,consular,RLCL,real,long,complex,1.95e-06,7,3.29,"['K', 'AA1', 'N', 'S', 'AH0', 'L', 'ER0']","['K', 'AA', 'N', 'S', 'AH', 'L', 'ER']",ADJ,3,4
194,suspicions,RLCL,real,long,complex,3.09e-06,9,3.49,"['S', 'AH0', 'S', 'P', 'IH1', 'SH', 'AH0', 'N', 'Z']","['S', 'AH', 'S', 'P', 'IH', 'SH', 'AH', 'N', 'Z']",NOUN,3,6
195,pendulum,RLCL,real,long,complex,1.86e-06,8,3.27,"['P', 'EH1', 'N', 'JH', 'AH0', 'L', 'AH0', 'M']","['P', 'EH', 'N', 'JH', 'AH', 'L', 'AH', 'M']",NOUN,3,5
196,archival,RLCL,real,long,complex,1.91e-06,7,3.28,"['AA0', 'R', 'K', 'AY1', 'V', 'AH0', 'L']","['AA', 'R', 'K', 'AY', 'V', 'AH', 'L']",ADJ,3,4
197,steadfast,RLCL,real,long,complex,1.38e-06,8,3.14,"['S', 'T', 'EH1', 'D', 'F', 'AE2', 'S', 'T']","['S', 'T', 'EH', 'D', 'F', 'AE', 'S', 'T']",ADJ,2,6
198,goldberg,RLCL,real,long,complex,3.16e-06,7,3.5,"['G', 'OW1', 'L', 'D', 'B', 'ER0', 'G']","['G', 'OW', 'L', 'D', 'B', 'ER', 'G']",PROPN,2,5
199,mediator,RLCL,real,long,complex,1.95e-06,7,3.29,"['M', 'IY1', 'D', 'IY0', 'EY2', 'T', 'ER0']","['M', 'IY', 'D', 'IY', 'EY', 'T', 'ER']",NOUN,4,3
200,contact,RLSH,real,long,simple,9.77e-05,7,4.99,"['K', 'AA1', 'N', 'T', 'AE2', 'K', 'T']","['K', 'AA', 'N', 'T', 'AE', 'K', 'T']",NOUN,2,5
201,concept,RLSH,real,long,simple,5.89e-05,7,4.77,"['K', 'AA1', 'N', 'S', 'EH0', 'P', 'T']","['K', 'AA', 'N', 'S', 'EH', 'P', 'T']",NOUN,2,5
202,funeral,RLSH,real,long,simple,2.34e-05,7,4.37,"['F', 'Y', 'UW1', 'N', 'ER0', 'AH0', 'L']","['F', 'Y', 'UW', 'N', 'ER', 'AH', 'L']",NOUN,3,4
203,marijuana,RLSH,real,long,simple,1.58e-05,8,4.2,"['M', 'EH2', 'R', 'AH0', 'W', 'AA1', 'N', 'AH0']","['M', 'EH', 'R', 'AH', 'W', 'AA', 'N', 'AH']",NOUN,4,4
204,clinton,RLSH,real,long,simple,3.72e-05,7,4.57,"['K', 'L', 'IH1', 'N', 'T', 'AH0', 'N']","['K', 'L', 'IH', 'N', 'T', 'AH', 'N']",PROPN,2,5
205,strategy,RLSH,real,long,simple,5.5e-05,8,4.74,"['S', 'T', 'R', 'AE1', 'T', 'AH0', 'JH', 'IY0']","['S', 'T', 'R', 'AE', 'T', 'AH', 'JH', 'IY']",NOUN,3,5
206,husband,RLSH,real,long,simple,0.0001,7,5.0,"['HH', 'AH1', 'Z', 'B', 'AH0', 'N', 'D']","['HH', 'AH', 'Z', 'B', 'AH', 'N', 'D']",NOUN,2,5
207,washington,RLSH,real,long,simple,0.00012,8,5.08,"['W', 'AA1', 'SH', 'IH0', 'NG', 'T', 'AH0', 'N']","['W', 'AA', 'SH', 'IH', 'NG', 'T', 'AH', 'N']",PROPN,3,5
208,ultimate,RLSH,real,long,simple,3.39e-05,7,4.53,"['AH1', 'L', 'T', 'AH0', 'M', 'AH0', 'T']","['AH', 'L', 'T', 'AH', 'M', 'AH', 'T']",ADJ,3,4
209,domestic,RLSH,real,long,simple,4.9e-05,8,4.69,"['D', 'AH0', 'M', 'EH1', 'S', 'T', 'IH0', 'K']","['D', 'AH', 'M', 'EH', 'S', 'T', 'IH', 'K']",ADJ,3,5
210,arsenal,RLSH,real,long,simple,2.04e-05,7,4.31,"['AA1', 'R', 'S', 'AH0', 'N', 'AH0', 'L']","['AA', 'R', 'S', 'AH', 'N', 'AH', 'L']",ADJ,3,4
211,lieutenant,RLSH,real,long,simple,2.75e-05,8,4.44,"['L', 'UW0', 'T', 'EH1', 'N', 'AH0', 'N', 'T']","['L', 'UW', 'T', 'EH', 'N', 'AH', 'N', 'T']",NOUN,3,5
212,present,RLSH,real,long,simple,0.000151,7,5.18,"['P', 'R', 'EH1', 'Z', 'AH0', 'N', 'T']","['P', 'R', 'EH', 'Z', 'AH', 'N', 'T']",VERB,2,5
213,element,RLSH,real,long,simple,2.88e-05,7,4.46,"['EH1', 'L', 'AH0', 'M', 'AH0', 'N', 'T']","['EH', 'L', 'AH', 'M', 'AH', 'N', 'T']",NOUN,3,4
214,instance,RLSH,real,long,simple,3.89e-05,7,4.59,"['IH1', 'N', 'S', 'T', 'AH0', 'N', 'S']","['IH', 'N', 'S', 'T', 'AH', 'N', 'S']",NOUN,2,5
215,sentence,RLSH,real,long,simple,3.8e-05,7,4.58,"['S', 'EH1', 'N', 'T', 'AH0', 'N', 'S']","['S', 'EH', 'N', 'T', 'AH', 'N', 'S']",NOUN,2,5
216,vulnerable,RLSH,real,long,simple,1.62e-05,9,4.21,"['V', 'AH1', 'L', 'N', 'ER0', 'AH0', 'B', 'AH0', 'L']","['V', 'AH', 'L', 'N', 'ER', 'AH', 'B', 'AH', 'L']",ADJ,4,5
217,implement,RLSH,real,long,simple,1.58e-05,9,4.2,"['IH1', 'M', 'P', 'L', 'AH0', 'M', 'AH0', 'N', 'T']","['IH', 'M', 'P', 'L', 'AH', 'M', 'AH', 'N', 'T']",VERB,3,6
218,galaxy,RLSH,real,long,simple,1.91e-05,7,4.28,"['G', 'AE1', 'L', 'AH0', 'K', 'S', 'IY0']","['G', 'AE', 'L', 'AH', 'K', 'S', 'IY']",NOUN,3,4
219,museum,RLSH,real,long,simple,5.13e-05,7,4.71,"['M', 'Y', 'UW0', 'Z', 'IY1', 'AH0', 'M']","['M', 'Y', 'UW', 'Z', 'IY', 'AH', 'M']",NOUN,3,4
220,economy,RLSH,real,long,simple,7.41e-05,7,4.87,"['IH0', 'K', 'AA1', 'N', 'AH0', 'M', 'IY0']","['IH', 'K', 'AA', 'N', 'AH', 'M', 'IY']",NOUN,4,3
221,ordinary,RLSH,real,long,simple,2.63e-05,8,4.42,"['AO1', 'R', 'D', 'AH0', 'N', 'EH2', 'R', 'IY0']","['AO', 'R', 'D', 'AH', 'N', 'EH', 'R', 'IY']",ADJ,4,4
222,suspect,RLSH,real,long,simple,3.24e-05,7,4.51,"['S', 'AH1', 'S', 'P', 'EH2', 'K', 'T']","['S', 'AH', 'S', 'P', 'EH', 'K', 'T']",VERB,2,5
223,principle,RLSH,real,long,simple,2.19e-05,9,4.34,"['P', 'R', 'IH1', 'N', 'S', 'AH0', 'P', 'AH0', 'L']","['P', 'R', 'IH', 'N', 'S', 'AH', 'P', 'AH', 'L']",NOUN,3,6
224,consider,RLSH,real,long,simple,9.77e-05,7,4.99,"['K', 'AH0', 'N', 'S', 'IH1', 'D', 'ER0']","['K', 'AH', 'N', 'S', 'IH', 'D', 'ER']",VERB,3,4
225,usual,RLSH,real,long,simple,4.17e-05,7,4.62,"['Y', 'UW1', 'ZH', 'AH0', 'W', 'AH0', 'L']","['Y', 'UW', 'ZH', 'AH', 'W', 'AH', 'L']",ADJ,3,4
226,concrete,RLSH,real,long,simple,2.75e-05,7,4.44,"['K', 'AH0', 'N', 'K', 'R', 'IY1', 'T']","['K', 'AH', 'N', 'K', 'R', 'IY', 'T']",NOUN,2,5
227,possible,RLSH,real,long,simple,0.000229,7,5.36,"['P', 'AA1', 'S', 'AH0', 'B', 'AH0', 'L']","['P', 'AA', 'S', 'AH', 'B', 'AH', 'L']",ADJ,3,4
228,expense,RLSH,real,long,simple,1.7e-05,7,4.23,"['IH0', 'K', 'S', 'P', 'EH1', 'N', 'S']","['IH', 'K', 'S', 'P', 'EH', 'N', 'S']",NOUN,2,5
229,manual,RLSH,real,long,simple,2.09e-05,7,4.32,"['M', 'AE1', 'N', 'Y', 'UW0', 'AH0', 'L']","['M', 'AE', 'N', 'Y', 'UW', 'AH', 'L']",ADJ,3,4
230,wisconsin,RLSH,real,long,simple,2.29e-05,9,4.36,"['W', 'IH0', 'S', 'K', 'AA1', 'N', 'S', 'AH0', 'N']","['W', 'IH', 'S', 'K', 'AA', 'N', 'S', 'AH', 'N']",PROPN,3,6
231,oxygen,RLSH,real,long,simple,1.78e-05,7,4.25,"['AA1', 'K', 'S', 'AH0', 'JH', 'AH0', 'N']","['AA', 'K', 'S', 'AH', 'JH', 'AH', 'N']",NOUN,3,4
232,advocate,RLSH,real,long,simple,1.62e-05,7,4.21,"['AE1', 'D', 'V', 'AH0', 'K', 'AH0', 'T']","['AE', 'D', 'V', 'AH', 'K', 'AH', 'T']",VERB,3,4
233,attention,RLSH,real,long,simple,0.000129,7,5.11,"['AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']","['AH', 'T', 'EH', 'N', 'SH', 'AH', 'N']",NOUN,3,4
234,genuine,RLSH,real,long,simple,2.34e-05,8,4.37,"['JH', 'EH1', 'N', 'Y', 'AH0', 'W', 'AH0', 'N']","['JH', 'EH', 'N', 'Y', 'AH', 'W', 'AH', 'N']",ADJ,3,5
235,important,RLSH,real,long,simple,0.000275,9,5.44,"['IH0', 'M', 'P', 'AO1', 'R', 'T', 'AH0', 'N', 'T']","['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'T']",ADJ,3,6
236,volunteer,RLSH,real,long,simple,1.91e-05,8,4.28,"['V', 'AA2', 'L', 'AH0', 'N', 'T', 'IH1', 'R']","['V', 'AA', 'L', 'AH', 'N', 'T', 'IH', 'R']",NOUN,3,5
237,apparent,RLSH,real,long,simple,2.09e-05,7,4.32,"['AH0', 'P', 'EH1', 'R', 'AH0', 'N', 'T']","['AH', 'P', 'EH', 'R', 'AH', 'N', 'T']",ADJ,3,4
238,anniversary,RLSH,real,long,simple,3.39e-05,8,4.53,"['AE2', 'N', 'AH0', 'V', 'ER1', 'S', 'ER0', 'IY0']","['AE', 'N', 'AH', 'V', 'ER', 'S', 'ER', 'IY']",NOUN,5,3
239,respect,RLSH,real,long,simple,0.000107,7,5.03,"['R', 'IH0', 'S', 'P', 'EH1', 'K', 'T']","['R', 'IH', 'S', 'P', 'EH', 'K', 'T']",NOUN,2,5
240,faculty,RLSH,real,long,simple,2.09e-05,7,4.32,"['F', 'AE1', 'K', 'AH0', 'L', 'T', 'IY0']","['F', 'AE', 'K', 'AH', 'L', 'T', 'IY']",NOUN,3,4
241,efficient,RLSH,real,long,simple,2.63e-05,7,4.42,"['IH0', 'F', 'IH1', 'SH', 'AH0', 'N', 'T']","['IH', 'F', 'IH', 'SH', 'AH', 'N', 'T']",ADJ,3,4
242,curious,RLSH,real,long,simple,2.82e-05,7,4.45,"['K', 'Y', 'UH1', 'R', 'IY0', 'AH0', 'S']","['K', 'Y', 'UH', 'R', 'IY', 'AH', 'S']",ADJ,3,4
243,interest,RLSH,real,long,simple,0.000148,7,5.17,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T']",NOUN,2,5
