,Phonemes,No_Stress,Sonority,Type,Length
2827,"['AY0', 'D', 'K']","['AY', 'D', 'K']",0,VCC,3
2828,"['D', 'K', 'ER0']","['D', 'K', 'ER']",0,CCV,3
2829,"['ER0', 'D', 'K']","['ER', 'D', 'K']",0,VCC,3
2830,"['D', 'K', 'AO0']","['D', 'K', 'AO']",0,CCV,3
2831,"['AO0', 'D', 'K']","['AO', 'D', 'K']",0,VCC,3
2832,"['D', 'K', 'UW0']","['D', 'K', 'UW']",0,CCV,3
2833,"['UW0', 'D', 'K']","['UW', 'D', 'K']",0,VCC,3
2834,"['D', 'K', 'IH0']","['D', 'K', 'IH']",0,CCV,3
2835,"['IH0', 'D', 'K']","['IH', 'D', 'K']",0,VCC,3
2836,"['D', 'K', 'EH0']","['D', 'K', 'EH']",0,CCV,3
2837,"['EH0', 'D', 'K']","['EH', 'D', 'K']",0,VCC,3
2838,"['D', 'K', 'UH0']","['D', 'K', 'UH']",0,CCV,3
2839,"['UH0', 'D', 'K']","['UH', 'D', 'K']",0,VCC,3
2840,"['D', 'K', 'IY0']","['D', 'K', 'IY']",0,CCV,3
2841,"['IY0', 'D', 'K']","['IY', 'D', 'K']",0,VCC,3
2842,"['D', 'K', 'EY0']","['D', 'K', 'EY']",0,CCV,3
2843,"['EY0', 'D', 'K']","['EY', 'D', 'K']",0,VCC,3
2844,"['D', 'K', 'OW0']","['D', 'K', 'OW']",0,CCV,3
2845,"['OW0', 'D', 'K']","['OW', 'D', 'K']",0,VCC,3
2846,"['D', 'K', 'AE0']","['D', 'K', 'AE']",0,CCV,3
2847,"['AE0', 'D', 'K']","['AE', 'D', 'K']",0,VCC,3
2848,"['D', 'K', 'AW0']","['D', 'K', 'AW']",0,CCV,3
2849,"['AW0', 'D', 'K']","['AW', 'D', 'K']",0,VCC,3
2850,"['D', 'B', 'AH0']","['D', 'B', 'AH']",0,CCV,3
2851,"['AH0', 'D', 'B']","['AH', 'D', 'B']",0,VCC,3
2852,"['D', 'B', 'OY0']","['D', 'B', 'OY']",0,CCV,3
2853,"['OY0', 'D', 'B']","['OY', 'D', 'B']",0,VCC,3
2854,"['D', 'B', 'AA0']","['D', 'B', 'AA']",0,CCV,3
2855,"['AA0', 'D', 'B']","['AA', 'D', 'B']",0,VCC,3
2856,"['D', 'B', 'AY0']","['D', 'B', 'AY']",0,CCV,3
2857,"['AY0', 'D', 'B']","['AY', 'D', 'B']",0,VCC,3
2858,"['D', 'B', 'ER0']","['D', 'B', 'ER']",0,CCV,3
2859,"['ER0', 'D', 'B']","['ER', 'D', 'B']",0,VCC,3
2860,"['D', 'B', 'AO0']","['D', 'B', 'AO']",0,CCV,3
2861,"['AO0', 'D', 'B']","['AO', 'D', 'B']",0,VCC,3
2862,"['D', 'B', 'UW0']","['D', 'B', 'UW']",0,CCV,3
2863,"['UW0', 'D', 'B']","['UW', 'D', 'B']",0,VCC,3
2864,"['D', 'B', 'IH0']","['D', 'B', 'IH']",0,CCV,3
2865,"['IH0', 'D', 'B']","['IH', 'D', 'B']",0,VCC,3
2866,"['D', 'B', 'EH0']","['D', 'B', 'EH']",0,CCV,3
2867,"['EH0', 'D', 'B']","['EH', 'D', 'B']",0,VCC,3
2868,"['D', 'B', 'UH0']","['D', 'B', 'UH']",0,CCV,3
2869,"['UH0', 'D', 'B']","['UH', 'D', 'B']",0,VCC,3
2870,"['D', 'B', 'IY0']","['D', 'B', 'IY']",0,CCV,3
2871,"['IY0', 'D', 'B']","['IY', 'D', 'B']",0,VCC,3
2872,"['D', 'B', 'EY0']","['D', 'B', 'EY']",0,CCV,3
2873,"['EY0', 'D', 'B']","['EY', 'D', 'B']",0,VCC,3
2874,"['D', 'B', 'OW0']","['D', 'B', 'OW']",0,CCV,3
2875,"['OW0', 'D', 'B']","['OW', 'D', 'B']",0,VCC,3
2876,"['D', 'B', 'AE0']","['D', 'B', 'AE']",0,CCV,3
2877,"['AE0', 'D', 'B']","['AE', 'D', 'B']",0,VCC,3
2878,"['D', 'B', 'AW0']","['D', 'B', 'AW']",0,CCV,3
2879,"['AW0', 'D', 'B']","['AW', 'D', 'B']",0,VCC,3
2880,"['D', 'G', 'AH0']","['D', 'G', 'AH']",0,CCV,3
2881,"['AH0', 'D', 'G']","['AH', 'D', 'G']",0,VCC,3
2882,"['D', 'G', 'OY0']","['D', 'G', 'OY']",0,CCV,3
2883,"['OY0', 'D', 'G']","['OY', 'D', 'G']",0,VCC,3
2884,"['D', 'G', 'AA0']","['D', 'G', 'AA']",0,CCV,3
2885,"['AA0', 'D', 'G']","['AA', 'D', 'G']",0,VCC,3
2886,"['D', 'G', 'AY0']","['D', 'G', 'AY']",0,CCV,3
2887,"['AY0', 'D', 'G']","['AY', 'D', 'G']",0,VCC,3
2888,"['D', 'G', 'ER0']","['D', 'G', 'ER']",0,CCV,3
2889,"['ER0', 'D', 'G']","['ER', 'D', 'G']",0,VCC,3
2890,"['D', 'G', 'AO0']","['D', 'G', 'AO']",0,CCV,3
2891,"['AO0', 'D', 'G']","['AO', 'D', 'G']",0,VCC,3
2892,"['D', 'G', 'UW0']","['D', 'G', 'UW']",0,CCV,3
2893,"['UW0', 'D', 'G']","['UW', 'D', 'G']",0,VCC,3
2894,"['D', 'G', 'IH0']","['D', 'G', 'IH']",0,CCV,3
2895,"['IH0', 'D', 'G']","['IH', 'D', 'G']",0,VCC,3
2896,"['D', 'G', 'EH0']","['D', 'G', 'EH']",0,CCV,3
2897,"['EH0', 'D', 'G']","['EH', 'D', 'G']",0,VCC,3
2898,"['D', 'G', 'UH0']","['D', 'G', 'UH']",0,CCV,3
2899,"['UH0', 'D', 'G']","['UH', 'D', 'G']",0,VCC,3
2900,"['D', 'G', 'IY0']","['D', 'G', 'IY']",0,CCV,3
2901,"['IY0', 'D', 'G']","['IY', 'D', 'G']",0,VCC,3
2902,"['D', 'G', 'EY0']","['D', 'G', 'EY']",0,CCV,3
2903,"['EY0', 'D', 'G']","['EY', 'D', 'G']",0,VCC,3
2904,"['D', 'G', 'OW0']","['D', 'G', 'OW']",0,CCV,3
2905,"['OW0', 'D', 'G']","['OW', 'D', 'G']",0,VCC,3
2906,"['D', 'G', 'AE0']","['D', 'G', 'AE']",0,CCV,3
2907,"['AE0', 'D', 'G']","['AE', 'D', 'G']",0,VCC,3
2908,"['D', 'G', 'AW0']","['D', 'G', 'AW']",0,CCV,3
2909,"['AW0', 'D', 'G']","['AW', 'D', 'G']",0,VCC,3
2910,"['D', 'F', 'AH0']","['D', 'F', 'AH']",1,CCV,3
2911,"['AH0', 'D', 'F']","['AH', 'D', 'F']",-1,VCC,3
2912,"['D', 'F', 'OY0']","['D', 'F', 'OY']",1,CCV,3
2913,"['OY0', 'D', 'F']","['OY', 'D', 'F']",-1,VCC,3
2914,"['D', 'F', 'AA0']","['D', 'F', 'AA']",1,CCV,3
2915,"['AA0', 'D', 'F']","['AA', 'D', 'F']",-1,VCC,3
2916,"['D', 'F', 'AY0']","['D', 'F', 'AY']",1,CCV,3
2917,"['AY0', 'D', 'F']","['AY', 'D', 'F']",-1,VCC,3
2918,"['D', 'F', 'ER0']","['D', 'F', 'ER']",1,CCV,3
2919,"['ER0', 'D', 'F']","['ER', 'D', 'F']",-1,VCC,3
2920,"['D', 'F', 'AO0']","['D', 'F', 'AO']",1,CCV,3
2921,"['AO0', 'D', 'F']","['AO', 'D', 'F']",-1,VCC,3
2922,"['D', 'F', 'UW0']","['D', 'F', 'UW']",1,CCV,3
2923,"['UW0', 'D', 'F']","['UW', 'D', 'F']",-1,VCC,3
2924,"['D', 'F', 'IH0']","['D', 'F', 'IH']",1,CCV,3
2925,"['IH0', 'D', 'F']","['IH', 'D', 'F']",-1,VCC,3
2926,"['D', 'F', 'EH0']","['D', 'F', 'EH']",1,CCV,3
2927,"['EH0', 'D', 'F']","['EH', 'D', 'F']",-1,VCC,3
2928,"['D', 'F', 'UH0']","['D', 'F', 'UH']",1,CCV,3
2929,"['UH0', 'D', 'F']","['UH', 'D', 'F']",-1,VCC,3
2930,"['D', 'F', 'IY0']","['D', 'F', 'IY']",1,CCV,3
2931,"['IY0', 'D', 'F']","['IY', 'D', 'F']",-1,VCC,3
2932,"['D', 'F', 'EY0']","['D', 'F', 'EY']",1,CCV,3
2933,"['EY0', 'D', 'F']","['EY', 'D', 'F']",-1,VCC,3
2934,"['D', 'F', 'OW0']","['D', 'F', 'OW']",1,CCV,3
2935,"['OW0', 'D', 'F']","['OW', 'D', 'F']",-1,VCC,3
2936,"['D', 'F', 'AE0']","['D', 'F', 'AE']",1,CCV,3
2937,"['AE0', 'D', 'F']","['AE', 'D', 'F']",-1,VCC,3
2938,"['D', 'F', 'AW0']","['D', 'F', 'AW']",1,CCV,3
2939,"['AW0', 'D', 'F']","['AW', 'D', 'F']",-1,VCC,3
2940,"['D', 'TH', 'AH0']","['D', 'TH', 'AH']",1,CCV,3
2941,"['AH0', 'D', 'TH']","['AH', 'D', 'TH']",-1,VCC,3
2942,"['D', 'TH', 'OY0']","['D', 'TH', 'OY']",1,CCV,3
2943,"['OY0', 'D', 'TH']","['OY', 'D', 'TH']",-1,VCC,3
2944,"['D', 'TH', 'AA0']","['D', 'TH', 'AA']",1,CCV,3
2945,"['AA0', 'D', 'TH']","['AA', 'D', 'TH']",-1,VCC,3
2946,"['D', 'TH', 'AY0']","['D', 'TH', 'AY']",1,CCV,3
2947,"['AY0', 'D', 'TH']","['AY', 'D', 'TH']",-1,VCC,3
2948,"['D', 'TH', 'ER0']","['D', 'TH', 'ER']",1,CCV,3
2949,"['ER0', 'D', 'TH']","['ER', 'D', 'TH']",-1,VCC,3
2950,"['D', 'TH', 'AO0']","['D', 'TH', 'AO']",1,CCV,3
2951,"['AO0', 'D', 'TH']","['AO', 'D', 'TH']",-1,VCC,3
2952,"['D', 'TH', 'UW0']","['D', 'TH', 'UW']",1,CCV,3
2953,"['UW0', 'D', 'TH']","['UW', 'D', 'TH']",-1,VCC,3
2954,"['D', 'TH', 'IH0']","['D', 'TH', 'IH']",1,CCV,3
2955,"['IH0', 'D', 'TH']","['IH', 'D', 'TH']",-1,VCC,3
2956,"['D', 'TH', 'EH0']","['D', 'TH', 'EH']",1,CCV,3
2957,"['EH0', 'D', 'TH']","['EH', 'D', 'TH']",-1,VCC,3
2958,"['D', 'TH', 'UH0']","['D', 'TH', 'UH']",1,CCV,3
2959,"['UH0', 'D', 'TH']","['UH', 'D', 'TH']",-1,VCC,3
2960,"['D', 'TH', 'IY0']","['D', 'TH', 'IY']",1,CCV,3
2961,"['IY0', 'D', 'TH']","['IY', 'D', 'TH']",-1,VCC,3
2962,"['D', 'TH', 'EY0']","['D', 'TH', 'EY']",1,CCV,3
2963,"['EY0', 'D', 'TH']","['EY', 'D', 'TH']",-1,VCC,3
2964,"['D', 'TH', 'OW0']","['D', 'TH', 'OW']",1,CCV,3
2965,"['OW0', 'D', 'TH']","['OW', 'D', 'TH']",-1,VCC,3
2966,"['D', 'TH', 'AE0']","['D', 'TH', 'AE']",1,CCV,3
2967,"['AE0', 'D', 'TH']","['AE', 'D', 'TH']",-1,VCC,3
2968,"['D', 'TH', 'AW0']","['D', 'TH', 'AW']",1,CCV,3
2969,"['AW0', 'D', 'TH']","['AW', 'D', 'TH']",-1,VCC,3
2970,"['D', 'S', 'AH0']","['D', 'S', 'AH']",1,CCV,3
2971,"['AH0', 'D', 'S']","['AH', 'D', 'S']",-1,VCC,3
2972,"['D', 'S', 'OY0']","['D', 'S', 'OY']",1,CCV,3
2973,"['OY0', 'D', 'S']","['OY', 'D', 'S']",-1,VCC,3
2974,"['D', 'S', 'AA0']","['D', 'S', 'AA']",1,CCV,3
2975,"['AA0', 'D', 'S']","['AA', 'D', 'S']",-1,VCC,3
2976,"['D', 'S', 'AY0']","['D', 'S', 'AY']",1,CCV,3
2977,"['AY0', 'D', 'S']","['AY', 'D', 'S']",-1,VCC,3
2978,"['D', 'S', 'ER0']","['D', 'S', 'ER']",1,CCV,3
2979,"['ER0', 'D', 'S']","['ER', 'D', 'S']",-1,VCC,3
2980,"['D', 'S', 'AO0']","['D', 'S', 'AO']",1,CCV,3
2981,"['AO0', 'D', 'S']","['AO', 'D', 'S']",-1,VCC,3
2982,"['D', 'S', 'UW0']","['D', 'S', 'UW']",1,CCV,3
2983,"['UW0', 'D', 'S']","['UW', 'D', 'S']",-1,VCC,3
2984,"['D', 'S', 'IH0']","['D', 'S', 'IH']",1,CCV,3
2985,"['IH0', 'D', 'S']","['IH', 'D', 'S']",-1,VCC,3
2986,"['D', 'S', 'EH0']","['D', 'S', 'EH']",1,CCV,3
2987,"['EH0', 'D', 'S']","['EH', 'D', 'S']",-1,VCC,3
2988,"['D', 'S', 'UH0']","['D', 'S', 'UH']",1,CCV,3
2989,"['UH0', 'D', 'S']","['UH', 'D', 'S']",-1,VCC,3
2990,"['D', 'S', 'IY0']","['D', 'S', 'IY']",1,CCV,3
2991,"['IY0', 'D', 'S']","['IY', 'D', 'S']",-1,VCC,3
2992,"['D', 'S', 'EY0']","['D', 'S', 'EY']",1,CCV,3
2993,"['EY0', 'D', 'S']","['EY', 'D', 'S']",-1,VCC,3
2994,"['D', 'S', 'OW0']","['D', 'S', 'OW']",1,CCV,3
2995,"['OW0', 'D', 'S']","['OW', 'D', 'S']",-1,VCC,3
2996,"['D', 'S', 'AE0']","['D', 'S', 'AE']",1,CCV,3
2997,"['AE0', 'D', 'S']","['AE', 'D', 'S']",-1,VCC,3
2998,"['D', 'S', 'AW0']","['D', 'S', 'AW']",1,CCV,3
2999,"['AW0', 'D', 'S']","['AW', 'D', 'S']",-1,VCC,3
3000,"['D', 'SH', 'AH0']","['D', 'SH', 'AH']",1,CCV,3
3001,"['AH0', 'D', 'SH']","['AH', 'D', 'SH']",-1,VCC,3
3002,"['D', 'SH', 'OY0']","['D', 'SH', 'OY']",1,CCV,3
3003,"['OY0', 'D', 'SH']","['OY', 'D', 'SH']",-1,VCC,3
3004,"['D', 'SH', 'AA0']","['D', 'SH', 'AA']",1,CCV,3
3005,"['AA0', 'D', 'SH']","['AA', 'D', 'SH']",-1,VCC,3
3006,"['D', 'SH', 'AY0']","['D', 'SH', 'AY']",1,CCV,3
3007,"['AY0', 'D', 'SH']","['AY', 'D', 'SH']",-1,VCC,3
3008,"['D', 'SH', 'ER0']","['D', 'SH', 'ER']",1,CCV,3
3009,"['ER0', 'D', 'SH']","['ER', 'D', 'SH']",-1,VCC,3
3010,"['D', 'SH', 'AO0']","['D', 'SH', 'AO']",1,CCV,3
3011,"['AO0', 'D', 'SH']","['AO', 'D', 'SH']",-1,VCC,3
3012,"['D', 'SH', 'UW0']","['D', 'SH', 'UW']",1,CCV,3
3013,"['UW0', 'D', 'SH']","['UW', 'D', 'SH']",-1,VCC,3
3014,"['D', 'SH', 'IH0']","['D', 'SH', 'IH']",1,CCV,3
3015,"['IH0', 'D', 'SH']","['IH', 'D', 'SH']",-1,VCC,3
3016,"['D', 'SH', 'EH0']","['D', 'SH', 'EH']",1,CCV,3
3017,"['EH0', 'D', 'SH']","['EH', 'D', 'SH']",-1,VCC,3
3018,"['D', 'SH', 'UH0']","['D', 'SH', 'UH']",1,CCV,3
3019,"['UH0', 'D', 'SH']","['UH', 'D', 'SH']",-1,VCC,3
3020,"['D', 'SH', 'IY0']","['D', 'SH', 'IY']",1,CCV,3
3021,"['IY0', 'D', 'SH']","['IY', 'D', 'SH']",-1,VCC,3
3022,"['D', 'SH', 'EY0']","['D', 'SH', 'EY']",1,CCV,3
3023,"['EY0', 'D', 'SH']","['EY', 'D', 'SH']",-1,VCC,3
3024,"['D', 'SH', 'OW0']","['D', 'SH', 'OW']",1,CCV,3
3025,"['OW0', 'D', 'SH']","['OW', 'D', 'SH']",-1,VCC,3
3026,"['D', 'SH', 'AE0']","['D', 'SH', 'AE']",1,CCV,3
3027,"['AE0', 'D', 'SH']","['AE', 'D', 'SH']",-1,VCC,3
3028,"['D', 'SH', 'AW0']","['D', 'SH', 'AW']",1,CCV,3
3029,"['AW0', 'D', 'SH']","['AW', 'D', 'SH']",-1,VCC,3
3030,"['D', 'Z', 'AH0']","['D', 'Z', 'AH']",1,CCV,3
3031,"['AH0', 'D', 'Z']","['AH', 'D', 'Z']",-1,VCC,3
3032,"['D', 'Z', 'OY0']","['D', 'Z', 'OY']",1,CCV,3
3033,"['OY0', 'D', 'Z']","['OY', 'D', 'Z']",-1,VCC,3
3034,"['D', 'Z', 'AA0']","['D', 'Z', 'AA']",1,CCV,3
3035,"['AA0', 'D', 'Z']","['AA', 'D', 'Z']",-1,VCC,3
3036,"['D', 'Z', 'AY0']","['D', 'Z', 'AY']",1,CCV,3
3037,"['AY0', 'D', 'Z']","['AY', 'D', 'Z']",-1,VCC,3
3038,"['D', 'Z', 'ER0']","['D', 'Z', 'ER']",1,CCV,3
3039,"['ER0', 'D', 'Z']","['ER', 'D', 'Z']",-1,VCC,3
3040,"['D', 'Z', 'AO0']","['D', 'Z', 'AO']",1,CCV,3
3041,"['AO0', 'D', 'Z']","['AO', 'D', 'Z']",-1,VCC,3
3042,"['D', 'Z', 'UW0']","['D', 'Z', 'UW']",1,CCV,3
3043,"['UW0', 'D', 'Z']","['UW', 'D', 'Z']",-1,VCC,3
3044,"['D', 'Z', 'IH0']","['D', 'Z', 'IH']",1,CCV,3
3045,"['IH0', 'D', 'Z']","['IH', 'D', 'Z']",-1,VCC,3
3046,"['D', 'Z', 'EH0']","['D', 'Z', 'EH']",1,CCV,3
3047,"['EH0', 'D', 'Z']","['EH', 'D', 'Z']",-1,VCC,3
3048,"['D', 'Z', 'UH0']","['D', 'Z', 'UH']",1,CCV,3
3049,"['UH0', 'D', 'Z']","['UH', 'D', 'Z']",-1,VCC,3
3050,"['D', 'Z', 'IY0']","['D', 'Z', 'IY']",1,CCV,3
3051,"['IY0', 'D', 'Z']","['IY', 'D', 'Z']",-1,VCC,3
3052,"['D', 'Z', 'EY0']","['D', 'Z', 'EY']",1,CCV,3
3053,"['EY0', 'D', 'Z']","['EY', 'D', 'Z']",-1,VCC,3
3054,"['D', 'Z', 'OW0']","['D', 'Z', 'OW']",1,CCV,3
3055,"['OW0', 'D', 'Z']","['OW', 'D', 'Z']",-1,VCC,3
3056,"['D', 'Z', 'AE0']","['D', 'Z', 'AE']",1,CCV,3
3057,"['AE0', 'D', 'Z']","['AE', 'D', 'Z']",-1,VCC,3
3058,"['D', 'Z', 'AW0']","['D', 'Z', 'AW']",1,CCV,3
3059,"['AW0', 'D', 'Z']","['AW', 'D', 'Z']",-1,VCC,3
3060,"['D', 'ZH', 'AH0']","['D', 'ZH', 'AH']",1,CCV,3
3061,"['AH0', 'D', 'ZH']","['AH', 'D', 'ZH']",-1,VCC,3
3062,"['D', 'ZH', 'OY0']","['D', 'ZH', 'OY']",1,CCV,3
3063,"['OY0', 'D', 'ZH']","['OY', 'D', 'ZH']",-1,VCC,3
3064,"['D', 'ZH', 'AA0']","['D', 'ZH', 'AA']",1,CCV,3
3065,"['AA0', 'D', 'ZH']","['AA', 'D', 'ZH']",-1,VCC,3
3066,"['D', 'ZH', 'AY0']","['D', 'ZH', 'AY']",1,CCV,3
3067,"['AY0', 'D', 'ZH']","['AY', 'D', 'ZH']",-1,VCC,3
3068,"['D', 'ZH', 'ER0']","['D', 'ZH', 'ER']",1,CCV,3
3069,"['ER0', 'D', 'ZH']","['ER', 'D', 'ZH']",-1,VCC,3
3070,"['D', 'ZH', 'AO0']","['D', 'ZH', 'AO']",1,CCV,3
3071,"['AO0', 'D', 'ZH']","['AO', 'D', 'ZH']",-1,VCC,3
3072,"['D', 'ZH', 'UW0']","['D', 'ZH', 'UW']",1,CCV,3
3073,"['UW0', 'D', 'ZH']","['UW', 'D', 'ZH']",-1,VCC,3
3074,"['D', 'ZH', 'IH0']","['D', 'ZH', 'IH']",1,CCV,3
3075,"['IH0', 'D', 'ZH']","['IH', 'D', 'ZH']",-1,VCC,3
3076,"['D', 'ZH', 'EH0']","['D', 'ZH', 'EH']",1,CCV,3
3077,"['EH0', 'D', 'ZH']","['EH', 'D', 'ZH']",-1,VCC,3
3078,"['D', 'ZH', 'UH0']","['D', 'ZH', 'UH']",1,CCV,3
3079,"['UH0', 'D', 'ZH']","['UH', 'D', 'ZH']",-1,VCC,3
3080,"['D', 'ZH', 'IY0']","['D', 'ZH', 'IY']",1,CCV,3
3081,"['IY0', 'D', 'ZH']","['IY', 'D', 'ZH']",-1,VCC,3
3082,"['D', 'ZH', 'EY0']","['D', 'ZH', 'EY']",1,CCV,3
3083,"['EY0', 'D', 'ZH']","['EY', 'D', 'ZH']",-1,VCC,3
3084,"['D', 'ZH', 'OW0']","['D', 'ZH', 'OW']",1,CCV,3
3085,"['OW0', 'D', 'ZH']","['OW', 'D', 'ZH']",-1,VCC,3
3086,"['D', 'ZH', 'AE0']","['D', 'ZH', 'AE']",1,CCV,3
3087,"['AE0', 'D', 'ZH']","['AE', 'D', 'ZH']",-1,VCC,3
3088,"['D', 'ZH', 'AW0']","['D', 'ZH', 'AW']",1,CCV,3
3089,"['AW0', 'D', 'ZH']","['AW', 'D', 'ZH']",-1,VCC,3
3090,"['D', 'V', 'AH0']","['D', 'V', 'AH']",1,CCV,3
3091,"['AH0', 'D', 'V']","['AH', 'D', 'V']",-1,VCC,3
3092,"['D', 'V', 'OY0']","['D', 'V', 'OY']",1,CCV,3
3093,"['OY0', 'D', 'V']","['OY', 'D', 'V']",-1,VCC,3
3094,"['D', 'V', 'AA0']","['D', 'V', 'AA']",1,CCV,3
3095,"['AA0', 'D', 'V']","['AA', 'D', 'V']",-1,VCC,3
3096,"['D', 'V', 'AY0']","['D', 'V', 'AY']",1,CCV,3
3097,"['AY0', 'D', 'V']","['AY', 'D', 'V']",-1,VCC,3
3098,"['D', 'V', 'ER0']","['D', 'V', 'ER']",1,CCV,3
3099,"['ER0', 'D', 'V']","['ER', 'D', 'V']",-1,VCC,3
3100,"['D', 'V', 'AO0']","['D', 'V', 'AO']",1,CCV,3
3101,"['AO0', 'D', 'V']","['AO', 'D', 'V']",-1,VCC,3
3102,"['D', 'V', 'UW0']","['D', 'V', 'UW']",1,CCV,3
3103,"['UW0', 'D', 'V']","['UW', 'D', 'V']",-1,VCC,3
3104,"['D', 'V', 'IH0']","['D', 'V', 'IH']",1,CCV,3
3105,"['IH0', 'D', 'V']","['IH', 'D', 'V']",-1,VCC,3
3106,"['D', 'V', 'EH0']","['D', 'V', 'EH']",1,CCV,3
3107,"['EH0', 'D', 'V']","['EH', 'D', 'V']",-1,VCC,3
3108,"['D', 'V', 'UH0']","['D', 'V', 'UH']",1,CCV,3
3109,"['UH0', 'D', 'V']","['UH', 'D', 'V']",-1,VCC,3
3110,"['D', 'V', 'IY0']","['D', 'V', 'IY']",1,CCV,3
3111,"['IY0', 'D', 'V']","['IY', 'D', 'V']",-1,VCC,3
3112,"['D', 'V', 'EY0']","['D', 'V', 'EY']",1,CCV,3
3113,"['EY0', 'D', 'V']","['EY', 'D', 'V']",-1,VCC,3
3114,"['D', 'V', 'OW0']","['D', 'V', 'OW']",1,CCV,3
3115,"['OW0', 'D', 'V']","['OW', 'D', 'V']",-1,VCC,3
3116,"['D', 'V', 'AE0']","['D', 'V', 'AE']",1,CCV,3
3117,"['AE0', 'D', 'V']","['AE', 'D', 'V']",-1,VCC,3
3118,"['D', 'V', 'AW0']","['D', 'V', 'AW']",1,CCV,3
3119,"['AW0', 'D', 'V']","['AW', 'D', 'V']",-1,VCC,3
3120,"['D', 'DH', 'AH0']","['D', 'DH', 'AH']",1,CCV,3
3121,"['AH0', 'D', 'DH']","['AH', 'D', 'DH']",-1,VCC,3
3122,"['D', 'DH', 'OY0']","['D', 'DH', 'OY']",1,CCV,3
3123,"['OY0', 'D', 'DH']","['OY', 'D', 'DH']",-1,VCC,3
3124,"['D', 'DH', 'AA0']","['D', 'DH', 'AA']",1,CCV,3
3125,"['AA0', 'D', 'DH']","['AA', 'D', 'DH']",-1,VCC,3
3126,"['D', 'DH', 'AY0']","['D', 'DH', 'AY']",1,CCV,3
3127,"['AY0', 'D', 'DH']","['AY', 'D', 'DH']",-1,VCC,3
3128,"['D', 'DH', 'ER0']","['D', 'DH', 'ER']",1,CCV,3
3129,"['ER0', 'D', 'DH']","['ER', 'D', 'DH']",-1,VCC,3
3130,"['D', 'DH', 'AO0']","['D', 'DH', 'AO']",1,CCV,3
3131,"['AO0', 'D', 'DH']","['AO', 'D', 'DH']",-1,VCC,3
3132,"['D', 'DH', 'UW0']","['D', 'DH', 'UW']",1,CCV,3
3133,"['UW0', 'D', 'DH']","['UW', 'D', 'DH']",-1,VCC,3
3134,"['D', 'DH', 'IH0']","['D', 'DH', 'IH']",1,CCV,3
3135,"['IH0', 'D', 'DH']","['IH', 'D', 'DH']",-1,VCC,3
3136,"['D', 'DH', 'EH0']","['D', 'DH', 'EH']",1,CCV,3
3137,"['EH0', 'D', 'DH']","['EH', 'D', 'DH']",-1,VCC,3
3138,"['D', 'DH', 'UH0']","['D', 'DH', 'UH']",1,CCV,3
3139,"['UH0', 'D', 'DH']","['UH', 'D', 'DH']",-1,VCC,3
3140,"['D', 'DH', 'IY0']","['D', 'DH', 'IY']",1,CCV,3
3141,"['IY0', 'D', 'DH']","['IY', 'D', 'DH']",-1,VCC,3
3142,"['D', 'DH', 'EY0']","['D', 'DH', 'EY']",1,CCV,3
3143,"['EY0', 'D', 'DH']","['EY', 'D', 'DH']",-1,VCC,3
3144,"['D', 'DH', 'OW0']","['D', 'DH', 'OW']",1,CCV,3
3145,"['OW0', 'D', 'DH']","['OW', 'D', 'DH']",-1,VCC,3
3146,"['D', 'DH', 'AE0']","['D', 'DH', 'AE']",1,CCV,3
3147,"['AE0', 'D', 'DH']","['AE', 'D', 'DH']",-1,VCC,3
3148,"['D', 'DH', 'AW0']","['D', 'DH', 'AW']",1,CCV,3
3149,"['AW0', 'D', 'DH']","['AW', 'D', 'DH']",-1,VCC,3
3150,"['D', 'HH', 'AH0']","['D', 'HH', 'AH']",1,CCV,3
3151,"['AH0', 'D', 'HH']","['AH', 'D', 'HH']",-1,VCC,3
3152,"['D', 'HH', 'OY0']","['D', 'HH', 'OY']",1,CCV,3
3153,"['OY0', 'D', 'HH']","['OY', 'D', 'HH']",-1,VCC,3
3154,"['D', 'HH', 'AA0']","['D', 'HH', 'AA']",1,CCV,3
3155,"['AA0', 'D', 'HH']","['AA', 'D', 'HH']",-1,VCC,3
3156,"['D', 'HH', 'AY0']","['D', 'HH', 'AY']",1,CCV,3
3157,"['AY0', 'D', 'HH']","['AY', 'D', 'HH']",-1,VCC,3
3158,"['D', 'HH', 'ER0']","['D', 'HH', 'ER']",1,CCV,3
3159,"['ER0', 'D', 'HH']","['ER', 'D', 'HH']",-1,VCC,3
3160,"['D', 'HH', 'AO0']","['D', 'HH', 'AO']",1,CCV,3
3161,"['AO0', 'D', 'HH']","['AO', 'D', 'HH']",-1,VCC,3
3162,"['D', 'HH', 'UW0']","['D', 'HH', 'UW']",1,CCV,3
3163,"['UW0', 'D', 'HH']","['UW', 'D', 'HH']",-1,VCC,3
3164,"['D', 'HH', 'IH0']","['D', 'HH', 'IH']",1,CCV,3
3165,"['IH0', 'D', 'HH']","['IH', 'D', 'HH']",-1,VCC,3
3166,"['D', 'HH', 'EH0']","['D', 'HH', 'EH']",1,CCV,3
3167,"['EH0', 'D', 'HH']","['EH', 'D', 'HH']",-1,VCC,3
3168,"['D', 'HH', 'UH0']","['D', 'HH', 'UH']",1,CCV,3
3169,"['UH0', 'D', 'HH']","['UH', 'D', 'HH']",-1,VCC,3
3170,"['D', 'HH', 'IY0']","['D', 'HH', 'IY']",1,CCV,3
